sexe;age;presence_enfant_conduite_accompagne;presence_enfants;tranche_de_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis;D_aléatoire
F;69;Non;Non;[40k€+];Private;Sports Car;no;0;7.0;z_Highly Rural/ Rural;30/01/2022;complet;dev_integral;307,41;78202-193
F;30;Non;Non;[40k€+];Commercial;Panel Truck;no;1;1.0;Highly Urban/ Urban;04/01/2022;complet;dev_premium;488,47;88095-194
F;53;Non;Non;[40k€+];Private;z_SUV;no;0;15.0;Highly Urban/ Urban;11/02/2022;complet;dev_integral;328,18;17566-195
F;68;Non;Oui;[40k€+];Private;Sports Car;no;3;7.0;Highly Urban/ Urban;07/04/2022;complet;dev_premium;351,77;84646-196
F;56;Non;Oui;[40k€+];Private;Minivan;no;4;17.0;Highly Urban/ Urban;09/02/2022;complet;dev_express;260,23;19439-197
M;86;Non;Non;[40k€+];Commercial;Panel Truck;no;2;13.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;260,05;50387-198
F;51;Non;Oui;[20k€, 40k€];Private;z_SUV;no;0;4.0;Highly Urban/ Urban;25/05/2022;complet;dev_integral;313,5;56044-199
F;68;Non;Non;[20k€, 40k€];Commercial;Minivan;no;0;;z_Highly Rural/ Rural;10/02/2022;complet;dev_express;255,92;20533-200
M;17;Non;Non;[40k€+];Private;Sports Car;yes;9;8.0;Highly Urban/ Urban;14/03/2022;complet;dev_express;250,09;22127-201
M;74;Non;Non;[40k€+];Commercial;Pickup;yes;4;7.0;Highly Urban/ Urban;11/05/2022;complet;dev_integral;306,33;74964-202
M;65;Oui;Oui;[40k€+];Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;09/04/2022;complet;dev_premium;414,58;92135-203
F;79;Non;Non;[40k€+];Commercial;z_SUV;no;2;14.0;z_Highly Rural/ Rural;14/04/2022;complet;dev_premium;522,86;89236-204
M;85;Non;Oui;[20k€, 40k€];Private;Sports Car;no;3;7.0;Highly Urban/ Urban;18/04/2022;complet;dev_express;263,73;95207-205
M;53;Non;Non;[40k€+];Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;275,11;72276-206
M;84;Non;Non;[40k€+];Commercial;Minivan;yes;6;;Highly Urban/ Urban;09/05/2022;complet;dev_integral;306,06;83350-207
M;61;Non;Non;[20k€, 40k€];Private;Minivan;no;0;12.0;z_Highly Rural/ Rural;04/02/2022;complet;dev_express;255,66;53756-208
M;64;Oui;Oui;[20k€, 40k€];Commercial;Panel Truck;yes;1;8.0;Highly Urban/ Urban;19/04/2022;complet;dev_premium;533,34;60350-209
F;54;Non;Oui;[20k€, 40k€];Private;z_SUV;no;0;5.0;z_Highly Rural/ Rural;03/04/2022;complet;dev_integral;337,24;45613-210
F;21;Oui;Oui;[40k€+];Private;Minivan;no;1;8.0;z_Highly Rural/ Rural;18/01/2022;complet;dev_integral;294,76;81049-211
F;51;Non;Non;[40k€+];Commercial;Panel Truck;yes;1;16.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;268,94;94487-212
F;65;Non;Non;[40k€+];Private;z_SUV;yes;1;;Highly Urban/ Urban;02/05/2022;complet;dev_integral;290,84;96306-213
F;52;Non;Non;[40k€+];Commercial;Van;no;1;5.0;Highly Urban/ Urban;19/01/2022;complet;dev_express;259,92;96864-214
M;59;Non;Oui;[40k€+];Commercial;Van;no;5;;Highly Urban/ Urban;15/02/2022;complet;dev_integral;294,79;20346-215
M;66;Non;Non;[40k€+];Private;z_SUV;no;0;13.0;Highly Urban/ Urban;03/01/2022;complet;dev_premium;502,24;61084-216
F;55;Non;Oui;[20k€, 40k€];Private;Pickup;yes;2;6.0;Highly Urban/ Urban;27/03/2022;complet;dev_express;250,53;20901-217
F;8;Non;Non;[40k€+];Private;z_SUV;no;8;19.0;Highly Urban/ Urban;02/04/2022;complet;dev_premium;405,34;25769-218
M;65;Non;Non;[20k€, 40k€];Private;Sports Car;no;0;1.0;Highly Urban/ Urban;30/04/2022;complet;dev_premium;510,58;13001-219
M;72;Oui;Oui;[20k€, 40k€];Private;Minivan;no;1;1.0;z_Highly Rural/ Rural;07/04/2022;complet;dev_integral;338,12;18465-220
M;75;Non;Oui;[40k€+];Private;Sports Car;no;0;16.0;Highly Urban/ Urban;22/01/2022;complet;dev_integral;317,4;74729-221
M;70;Oui;Oui;Inconnus;Commercial;Pickup;no;0;18.0;z_Highly Rural/ Rural;07/05/2022;complet;dev_integral;322,32;57987-222
F;32;Non;Non;[40k€+];Private;z_SUV;no;4;3.0;Highly Urban/ Urban;07/01/2022;complet;dev_premium;538,88;12745-223
F;6;Non;Oui;[40k€+];Commercial;z_SUV;no;5;5.0;Highly Urban/ Urban;05/01/2022;complet;dev_integral;334,48;89422-224
F;85;Non;Non;[20k€, 40k€];Commercial;Minivan;no;0;1.0;Highly Urban/ Urban;13/05/2022;complet;dev_integral;318,22;67698-225
M;57;Non;Non;[40k€+];Private;Minivan;no;4;10.0;Highly Urban/ Urban;11/05/2022;complet;dev_express;253,64;95126-226
F;67;Non;Non;[20k€, 40k€];Private;z_SUV;no;3;9.0;Highly Urban/ Urban;29/03/2022;complet;dev_integral;310,03;16055-227
M;28;Non;Oui;[20k€, 40k€];Private;z_SUV;no;0;3.0;z_Highly Rural/ Rural;12/02/2022;complet;dev_premium;446,4;66647-228
F;71;Non;Non;[0, 20k€];Private;Minivan;yes;0;1.0;Highly Urban/ Urban;18/03/2022;complet;dev_premium;323,71;42721-229
F;84;Non;Non;[20k€, 40k€];Private;Pickup;yes;5;1.0;Highly Urban/ Urban;25/01/2022;complet;dev_express;273,49;38934-230
F;28;Non;Non;[40k€+];Private;z_SUV;no;3;;Highly Urban/ Urban;11/05/2022;complet;dev_express;268,08;42521-231
M;5;Oui;Oui;[40k€+];Private;Minivan;yes;0;7.0;Highly Urban/ Urban;04/05/2022;complet;dev_express;251,24;96890-232
F;33;Non;Non;[40k€+];Private;Minivan;yes;3;;Highly Urban/ Urban;22/01/2022;complet;dev_express;277,25;24556-233
F;45;Non;Non;[40k€+];Commercial;z_SUV;no;2;10.0;Highly Urban/ Urban;06/01/2022;complet;dev_express;256,99;69890-234
F;69;Non;Oui;[0, 20k€];Private;z_SUV;no;2;7.0;z_Highly Rural/ Rural;11/04/2022;complet;dev_integral;310,35;55032-235
M;70;Non;Non;[40k€+];Private;Pickup;no;0;16.0;Highly Urban/ Urban;22/03/2022;complet;dev_integral;288,06;75532-236
F;39;Non;Non;[40k€+];Commercial;Panel Truck;no;0;15.0;Highly Urban/ Urban;31/03/2022;complet;dev_premium;513,79;30531-237
F;68;Non;Non;[40k€+];Private;z_SUV;no;0;15.0;Highly Urban/ Urban;09/03/2022;complet;dev_integral;293,6;88416-238
M;74;Non;Oui;[20k€, 40k€];Private;z_SUV;no;5;1.0;Highly Urban/ Urban;07/05/2022;complet;dev_integral;287,88;23440-239
F;71;Non;Non;[40k€+];Private;Minivan;yes;3;10.0;Highly Urban/ Urban;24/02/2022;complet;dev_integral;315,82;62379-240
F;44;Non;Non;[40k€+];Private;Minivan;no;0;15.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;275,89;74383-241
M;65;Non;Non;[40k€+];Commercial;z_SUV;no;0;7.0;Highly Urban/ Urban;25/02/2022;complet;dev_express;283,32;83406-242
F;85;Non;Non;[0, 20k€];Commercial;Pickup;yes;0;11.0;Highly Urban/ Urban;29/03/2022;complet;dev_express;278,57;36068-243
F;80;Oui;Oui;[40k€+];Private;Sports Car;no;6;12.0;Highly Urban/ Urban;10/05/2022;complet;dev_express;278,88;14515-244
M;12;Non;Oui;[40k€+];Private;z_SUV;no;3;5.0;Highly Urban/ Urban;14/05/2022;complet;dev_integral;294,07;88475-245
F;88;Non;Non;Inconnus;Private;Van;yes;3;12.0;Highly Urban/ Urban;19/01/2022;complet;dev_integral;287,36;13515-246
M;35;Oui;Oui;[40k€+];Commercial;Pickup;no;0;7.0;Highly Urban/ Urban;27/05/2022;complet;dev_premium;444,12;70294-247
M;10;Non;Oui;[0, 20k€];Commercial;Van;yes;0;1.0;z_Highly Rural/ Rural;13/01/2022;complet;dev_integral;327,96;38225-248
M;38;Non;Non;[20k€, 40k€];Private;Pickup;yes;0;10.0;Highly Urban/ Urban;08/04/2022;complet;dev_integral;324,54;22836-249
F;32;Non;Non;[40k€+];Private;Minivan;no;2;15.0;Highly Urban/ Urban;26/04/2022;complet;dev_integral;282;75517-250
M;19;Non;Non;[40k€+];Private;z_SUV;no;1;20.0;Highly Urban/ Urban;30/01/2022;complet;dev_integral;304,82;47886-251
F;38;Non;Non;[40k€+];Commercial;z_SUV;no;5;12.0;z_Highly Rural/ Rural;18/05/2022;complet;dev_express;265,76;62497-252
M;56;Non;Non;[40k€+];Commercial;Minivan;no;3;6.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;408,4;22906-253
F;59;Non;Non;[40k€+];Private;Van;yes;0;18.0;Highly Urban/ Urban;13/02/2022;complet;dev_express;270,45;41059-254
M;9;Non;Non;[20k€, 40k€];Private;Minivan;no;0;8.0;Highly Urban/ Urban;26/04/2022;complet;dev_integral;324,01;48607-255
M;62;Non;Oui;[40k€+];Commercial;Van;yes;2;;z_Highly Rural/ Rural;26/05/2022;complet;dev_premium;496,66;99693-256
M;60;Non;Oui;Inconnus;Private;Minivan;no;0;16.0;Highly Urban/ Urban;06/02/2022;complet;dev_integral;311,46;17848-257
F;23;Oui;Oui;[20k€, 40k€];Private;Minivan;no;0;5.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;264,18;38740-258
F;88;Non;Non;[0, 20k€];Private;Minivan;yes;0;1.0;z_Highly Rural/ Rural;26/03/2022;complet;dev_premium;450,47;48428-259
F;71;Non;Non;[40k€+];Commercial;Panel Truck;no;4;10.0;Highly Urban/ Urban;14/02/2022;complet;dev_express;251,35;37675-260
F;11;Non;Non;[40k€+];Commercial;Panel Truck;no;5;8.0;Highly Urban/ Urban;17/04/2022;complet;dev_integral;339,54;74609-261
F;81;Non;Oui;[40k€+];Commercial;Van;yes;1;9.0;Highly Urban/ Urban;12/02/2022;complet;dev_express;253,15;47936-262
M;10;Non;Non;[40k€+];Commercial;Pickup;no;0;17.0;Highly Urban/ Urban;20/03/2022;complet;dev_integral;294,96;98742-263
M;15;Non;Non;[40k€+];Commercial;Van;no;7;10.0;Highly Urban/ Urban;24/03/2022;complet;dev_express;253,78;82774-264
M;78;Non;Non;[0, 20k€];Private;z_SUV;no;4;;Highly Urban/ Urban;28/05/2022;complet;dev_integral;310,92;12310-265
M;58;Non;Non;[40k€+];Private;z_SUV;no;1;7.0;Highly Urban/ Urban;27/04/2022;complet;dev_integral;327,49;50989-266
M;52;Non;Non;[40k€+];Private;z_SUV;no;1;1.0;z_Highly Rural/ Rural;28/01/2022;complet;dev_premium;320,33;52570-267
M;16;Non;Non;[40k€+];Commercial;Panel Truck;no;4;11.0;Highly Urban/ Urban;21/03/2022;complet;dev_express;281,3;42750-268
F;72;Non;Non;[40k€+];Private;z_SUV;no;0;12.0;Highly Urban/ Urban;07/01/2022;complet;dev_integral;334,13;38221-269
F;60;Non;Non;[40k€+];Private;Minivan;no;4;13.0;Highly Urban/ Urban;15/05/2022;complet;dev_premium;346,74;67563-270
F;37;Non;Non;[40k€+];Commercial;Sports Car;no;4;12.0;Highly Urban/ Urban;09/02/2022;complet;dev_integral;309,27;73484-271
M;70;Non;Non;[40k€+];Commercial;Pickup;no;3;13.0;Highly Urban/ Urban;04/02/2022;complet;dev_express;283;12412-272
F;44;Non;Non;[40k€+];Commercial;Van;no;3;8.0;Highly Urban/ Urban;30/04/2022;complet;dev_integral;317,98;60474-273
M;24;Non;Non;[40k€+];Private;Van;no;0;1.0;Highly Urban/ Urban;06/01/2022;complet;dev_express;264,99;26015-274
M;51;Non;Oui;[40k€+];Private;z_SUV;no;2;1.0;Highly Urban/ Urban;12/04/2022;complet;dev_express;259,91;76139-275
F;87;Non;Non;[40k€+];Commercial;Panel Truck;no;5;10.0;Highly Urban/ Urban;25/04/2022;complet;dev_express;250,93;29118-276
M;37;Oui;Oui;[40k€+];Commercial;Pickup;no;4;8.0;Highly Urban/ Urban;01/01/2022;complet;dev_integral;336,46;73013-277
M;60;Non;Non;[20k€, 40k€];Commercial;Pickup;yes;5;1.0;Highly Urban/ Urban;16/03/2022;complet;dev_express;284,06;94016-278
M;25;Non;Non;[40k€+];Commercial;Panel Truck;no;3;20.0;Highly Urban/ Urban;20/03/2022;complet;dev_integral;325,01;32622-279
M;74;Non;Non;[0, 20k€];Private;z_SUV;no;3;2.0;Highly Urban/ Urban;20/01/2022;complet;dev_integral;290,62;28440-280
M;59;Non;Non;[40k€+];Private;Minivan;yes;0;12.0;Highly Urban/ Urban;10/05/2022;complet;dev_integral;304,34;27854-281
M;7;Non;Non;[0, 20k€];Private;Sports Car;no;5;11.0;Highly Urban/ Urban;10/01/2022;complet;dev_premium;522,67;68871-282
F;7;Non;Non;[40k€+];Private;Sports Car;no;0;12.0;z_Highly Rural/ Rural;28/03/2022;complet;dev_integral;313,78;12047-283
F;47;Non;Non;[20k€, 40k€];Private;Minivan;yes;4;11.0;Highly Urban/ Urban;13/04/2022;complet;dev_integral;308,04;37874-284
F;87;Non;Non;[40k€+];Private;z_SUV;no;0;1.0;Highly Urban/ Urban;21/02/2022;complet;dev_integral;326,77;64332-285
F;19;Non;Non;[20k€, 40k€];Private;Pickup;yes;2;1.0;Highly Urban/ Urban;15/01/2022;complet;dev_integral;316,44;34880-286
F;42;Non;Non;[20k€, 40k€];Commercial;Pickup;yes;0;10.0;z_Highly Rural/ Rural;25/01/2022;complet;dev_integral;337,36;19570-287
M;73;Non;Non;Inconnus;Private;Minivan;no;2;7.0;Highly Urban/ Urban;18/01/2022;complet;dev_integral;332,68;88026-288
F;78;Non;Non;[40k€+];Commercial;Panel Truck;yes;0;17.0;Highly Urban/ Urban;15/02/2022;complet;dev_express;271,49;38502-289
M;61;Non;Oui;[40k€+];Private;Pickup;no;1;14.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;525,25;92389-290
M;59;Non;Non;[40k€+];Private;Pickup;no;4;9.0;Highly Urban/ Urban;18/03/2022;complet;dev_express;280,37;41968-291
M;19;Non;Non;[40k€+];Private;Pickup;no;0;8.0;Highly Urban/ Urban;22/03/2022;complet;dev_integral;311,45;17072-292
M;5;Non;Non;[20k€, 40k€];Private;Minivan;no;3;;Highly Urban/ Urban;07/03/2022;complet;dev_integral;322,57;91577-293
M;8;Non;Non;[40k€+];Commercial;Van;yes;0;4.0;Highly Urban/ Urban;18/05/2022;complet;dev_integral;323,43;55818-294
F;24;Non;Oui;[20k€, 40k€];Private;z_SUV;no;1;1.0;Highly Urban/ Urban;01/05/2022;complet;dev_express;283,1;59952-295
F;48;Non;Oui;[40k€+];Private;z_SUV;no;0;11.0;Highly Urban/ Urban;26/05/2022;complet;dev_integral;306,68;55947-296
F;15;Non;Non;[40k€+];Private;z_SUV;no;6;;Highly Urban/ Urban;23/04/2022;complet;dev_premium;502,35;51658-297
F;91;Oui;Oui;[40k€+];Private;Minivan;yes;1;11.0;Highly Urban/ Urban;27/02/2022;complet;dev_express;252,97;66492-298
F;70;Non;Non;[40k€+];Private;Pickup;yes;2;10.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;281,49;15376-299
F;21;Non;Oui;[40k€+];Commercial;Panel Truck;no;1;21.0;Highly Urban/ Urban;21/03/2022;complet;dev_express;280,78;63544-300
M;46;Non;Non;[20k€, 40k€];Commercial;Sports Car;no;0;1.0;z_Highly Rural/ Rural;10/05/2022;complet;dev_integral;289,57;84332-301
F;5;Non;Oui;[40k€+];Private;Pickup;no;0;10.0;z_Highly Rural/ Rural;11/04/2022;complet;dev_integral;292,53;95954-302
F;52;Non;Oui;[0, 20k€];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;13/05/2022;complet;dev_express;274,81;70700-303
F;71;Oui;Oui;[0, 20k€];Private;Minivan;yes;3;1.0;Highly Urban/ Urban;26/05/2022;complet;dev_integral;319,11;55031-304
F;82;Non;Non;[40k€+];Private;Pickup;no;0;10.0;z_Highly Rural/ Rural;03/03/2022;complet;dev_express;257,24;59285-305
F;71;Non;Non;[40k€+];Private;Sports Car;no;0;12.0;Highly Urban/ Urban;26/01/2022;complet;dev_express;261,81;24263-306
M;12;Non;Non;[40k€+];Commercial;Pickup;yes;4;20.0;Highly Urban/ Urban;22/01/2022;complet;dev_express;279,4;46924-307
F;74;Non;Non;[0, 20k€];Private;z_SUV;no;0;3.0;Highly Urban/ Urban;25/05/2022;complet;dev_express;269,65;99671-308
F;20;Non;Non;[40k€+];Private;Minivan;no;0;11.0;Highly Urban/ Urban;03/02/2022;complet;dev_premium;434,84;26203-309
F;54;Non;Non;[40k€+];Commercial;Panel Truck;yes;5;19.0;Highly Urban/ Urban;08/01/2022;complet;dev_express;261,49;69965-310
F;49;Non;Non;[0, 20k€];Commercial;Minivan;no;0;11.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_express;279,94;50969-311
M;37;Non;Non;[40k€+];Commercial;Sports Car;yes;0;7.0;Highly Urban/ Urban;18/05/2022;complet;dev_express;265,59;50448-312
M;40;Non;Non;[20k€, 40k€];Private;Minivan;no;0;8.0;z_Highly Rural/ Rural;25/05/2022;complet;dev_premium;494,57;76084-313
M;68;Oui;Oui;[40k€+];Private;Sports Car;no;2;1.0;Highly Urban/ Urban;04/05/2022;complet;dev_integral;316,98;53500-314
F;63;Non;Oui;[40k€+];Private;Pickup;no;2;12.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;319,58;57023-315
M;22;Non;Non;[0, 20k€];Private;Minivan;no;0;1.0;Highly Urban/ Urban;17/02/2022;complet;dev_integral;332,58;15381-316
M;84;Non;Non;[40k€+];Private;Minivan;yes;0;11.0;Highly Urban/ Urban;25/04/2022;complet;dev_premium;394,46;98011-317
F;13;Non;Non;[20k€, 40k€];Commercial;Panel Truck;no;0;7.0;Highly Urban/ Urban;24/03/2022;complet;dev_integral;299,2;25882-318
F;51;Non;Oui;[0, 20k€];Private;z_SUV;no;0;5.0;z_Highly Rural/ Rural;24/01/2022;complet;dev_express;279,57;11222-319
M;86;Oui;Oui;Inconnus;Private;Pickup;yes;0;9.0;z_Highly Rural/ Rural;03/03/2022;complet;dev_integral;321,89;74331-320
F;63;Non;Non;[40k€+];Private;Van;yes;0;14.0;Highly Urban/ Urban;29/01/2022;complet;dev_integral;303,5;61807-321
F;94;Oui;Oui;[0, 20k€];Private;z_SUV;no;0;4.0;z_Highly Rural/ Rural;29/04/2022;complet;dev_integral;337,33;23109-322
F;75;Non;Non;[40k€+];Private;Sports Car;no;0;6.0;Highly Urban/ Urban;11/01/2022;complet;dev_integral;309,68;14156-323
F;46;Non;Oui;[0, 20k€];Commercial;Pickup;no;7;1.0;z_Highly Rural/ Rural;11/05/2022;complet;dev_express;279,56;96999-324
F;57;Non;Oui;[20k€, 40k€];Private;z_SUV;no;6;1.0;Highly Urban/ Urban;07/05/2022;complet;dev_express;266,9;14583-325
M;7;Non;Non;[40k€+];Commercial;Minivan;no;3;1.0;Highly Urban/ Urban;08/02/2022;complet;dev_express;258,75;68038-326
F;74;Non;Non;[40k€+];Private;Minivan;yes;2;19.0;Highly Urban/ Urban;01/02/2022;complet;dev_integral;336,13;54468-327
F;63;Non;Non;[20k€, 40k€];Commercial;z_SUV;no;3;12.0;Highly Urban/ Urban;10/03/2022;complet;dev_integral;302,68;58076-328
F;55;Non;Non;[40k€+];Private;Minivan;no;1;1.0;Highly Urban/ Urban;08/03/2022;complet;dev_integral;317,96;11406-329
F;62;Non;Non;[20k€, 40k€];Private;z_SUV;no;1;9.0;z_Highly Rural/ Rural;27/05/2022;complet;dev_premium;445,13;60032-330
F;52;Non;Non;[40k€+];Private;Pickup;yes;2;9.0;Highly Urban/ Urban;07/01/2022;complet;dev_vip;626,17;14005-331
M;83;Oui;Oui;[20k€, 40k€];Private;Minivan;yes;0;1.0;Highly Urban/ Urban;14/02/2022;complet;dev_express;263,27;24939-332
M;37;Non;Non;[20k€, 40k€];Private;Sports Car;no;0;4.0;Highly Urban/ Urban;21/02/2022;complet;dev_express;256,04;69965-333
M;54;Non;Oui;[20k€, 40k€];Commercial;Van;yes;0;7.0;z_Highly Rural/ Rural;09/04/2022;complet;dev_integral;284,7;72923-334
F;67;Non;Oui;[40k€+];Commercial;Minivan;no;5;9.0;Highly Urban/ Urban;25/03/2022;complet;dev_integral;303,62;86569-335
F;49;Non;Oui;[40k€+];Private;z_SUV;no;0;20.0;Highly Urban/ Urban;31/03/2022;complet;dev_express;273,9;82775-336
M;19;Non;Non;[40k€+];Private;Sports Car;no;0;15.0;Highly Urban/ Urban;02/02/2022;complet;dev_integral;294,79;71012-337
M;52;Non;Non;[40k€+];Commercial;Pickup;yes;0;7.0;Highly Urban/ Urban;08/05/2022;complet;dev_integral;307,93;74424-338
M;41;Non;Oui;[40k€+];Commercial;z_SUV;no;0;9.0;Highly Urban/ Urban;04/04/2022;complet;dev_integral;282,43;84192-339
F;32;Oui;Oui;[0, 20k€];Private;Sports Car;no;3;6.0;Highly Urban/ Urban;11/01/2022;complet;dev_express;256,59;95029-340
M;63;Non;Oui;[40k€+];Commercial;Panel Truck;no;4;8.0;Highly Urban/ Urban;22/03/2022;complet;dev_express;281,4;34478-341
M;83;Non;Oui;[40k€+];Commercial;Sports Car;no;0;1.0;Highly Urban/ Urban;30/01/2022;complet;dev_integral;334,88;33066-342
M;37;Non;Non;[40k€+];Private;z_SUV;no;7;1.0;Highly Urban/ Urban;09/05/2022;complet;dev_integral;311,75;89239-343
M;76;Non;Non;[20k€, 40k€];Commercial;Minivan;no;3;5.0;Highly Urban/ Urban;11/04/2022;complet;dev_integral;288,41;25668-344
M;57;Non;Non;[40k€+];Commercial;Van;yes;1;8.0;Highly Urban/ Urban;10/01/2022;complet;dev_integral;324,97;50103-345
M;57;Non;Non;[40k€+];Private;z_SUV;no;2;;Highly Urban/ Urban;26/03/2022;complet;dev_premium;455,97;60195-346
F;25;Non;Non;[40k€+];Commercial;Panel Truck;no;10;14.0;Highly Urban/ Urban;24/02/2022;complet;dev_express;259,49;25588-347
F;22;Non;Oui;[40k€+];Commercial;Panel Truck;no;3;3.0;Highly Urban/ Urban;05/03/2022;complet;dev_integral;292,06;37299-348
F;83;Non;Non;[0, 20k€];Private;Minivan;no;0;10.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;281,72;76952-349
M;37;Non;Non;[0, 20k€];Private;Sports Car;no;0;1.0;z_Highly Rural/ Rural;26/01/2022;complet;dev_integral;308,23;42162-350
F;89;Oui;Oui;[40k€+];Private;Minivan;no;4;10.0;Highly Urban/ Urban;06/01/2022;complet;dev_vip;694,47;77802-351
M;31;Non;Non;[40k€+];Private;Minivan;yes;0;13.0;Highly Urban/ Urban;09/01/2022;complet;dev_integral;327,58;39404-352
M;69;Non;Oui;[40k€+];Commercial;z_SUV;no;1;1.0;Highly Urban/ Urban;13/01/2022;complet;dev_integral;333,97;92368-353
F;84;Non;Non;[40k€+];Private;Sports Car;no;8;20.0;Highly Urban/ Urban;10/05/2022;complet;dev_integral;307,83;61711-354
M;82;Non;Oui;[40k€+];Commercial;Panel Truck;no;0;1.0;z_Highly Rural/ Rural;02/03/2022;complet;dev_integral;339,69;34376-355
F;51;Non;Oui;[40k€+];Private;Minivan;no;2;18.0;Highly Urban/ Urban;30/01/2022;complet;dev_express;253,83;14506-356
F;55;Non;Non;Inconnus;Private;z_SUV;no;0;25.0;Highly Urban/ Urban;14/04/2022;complet;dev_integral;291,05;89079-357
M;32;Non;Oui;[40k€+];Commercial;Panel Truck;yes;0;19.0;Highly Urban/ Urban;29/05/2022;complet;dev_integral;307,72;54939-358
M;7;Non;Oui;[20k€, 40k€];Private;Pickup;yes;0;17.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;268,44;20226-359
F;54;Non;Non;[40k€+];Commercial;Pickup;yes;2;11.0;z_Highly Rural/ Rural;27/01/2022;complet;dev_integral;301,81;98669-360
F;59;Non;Non;[40k€+];Private;Van;no;3;13.0;Highly Urban/ Urban;07/05/2022;complet;dev_express;256,13;58650-361
M;74;Non;Oui;[20k€, 40k€];Commercial;z_SUV;no;0;8.0;z_Highly Rural/ Rural;06/03/2022;complet;dev_premium;431,79;29285-362
M;21;Non;Oui;[40k€+];Commercial;z_SUV;no;1;5.0;Highly Urban/ Urban;06/05/2022;complet;dev_express;268,02;51565-363
F;56;Non;Oui;[40k€+];Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;23/01/2022;complet;dev_premium;545,82;66826-364
M;27;Non;Oui;[0, 20k€];Commercial;z_SUV;no;3;1.0;Highly Urban/ Urban;21/01/2022;complet;dev_integral;290,47;79591-365
M;65;Non;Oui;Inconnus;Private;Minivan;yes;1;;Highly Urban/ Urban;24/05/2022;complet;dev_integral;315,21;29377-366
F;42;Non;Oui;[20k€, 40k€];Private;Minivan;yes;4;8.0;z_Highly Rural/ Rural;23/04/2022;complet;dev_integral;282,79;96512-367
F;64;Non;Non;[40k€+];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;19/02/2022;complet;dev_express;270;62728-368
F;71;Non;Non;[20k€, 40k€];Private;Minivan;no;0;7.0;z_Highly Rural/ Rural;10/01/2022;complet;dev_express;280,92;40911-369
M;11;Non;Oui;[40k€+];Private;Sports Car;no;0;13.0;Highly Urban/ Urban;26/02/2022;complet;dev_premium;400,38;54467-370
F;36;Oui;Oui;[0, 20k€];Private;z_SUV;no;0;10.0;Highly Urban/ Urban;03/01/2022;complet;dev_express;268,53;53681-371
M;62;Non;Non;Inconnus;Private;Minivan;yes;0;;Highly Urban/ Urban;27/01/2022;complet;dev_integral;303,81;44783-372
M;87;Non;Non;[40k€+];Commercial;Panel Truck;no;2;8.0;z_Highly Rural/ Rural;26/05/2022;complet;dev_integral;323,88;20691-373
F;52;Non;Oui;[0, 20k€];Private;Minivan;no;3;1.0;Highly Urban/ Urban;07/03/2022;complet;dev_integral;335,54;40639-374
F;53;Non;Non;[20k€, 40k€];Private;z_SUV;no;3;;Highly Urban/ Urban;16/04/2022;complet;dev_express;277,37;68369-375
M;47;Non;Oui;[20k€, 40k€];Private;z_SUV;no;3;6.0;Highly Urban/ Urban;23/05/2022;complet;dev_express;261,07;76307-376
F;70;Non;Oui;[20k€, 40k€];Private;z_SUV;no;0;11.0;Highly Urban/ Urban;08/01/2022;complet;dev_premium;452,78;33384-377
M;23;Non;Oui;[40k€+];Private;Minivan;no;0;21.0;Highly Urban/ Urban;29/05/2022;complet;dev_integral;333,27;99337-378
M;73;Oui;Oui;[40k€+];Private;Minivan;yes;1;8.0;Highly Urban/ Urban;10/01/2022;complet;dev_integral;310,58;31221-379
F;58;Non;Non;[40k€+];Private;Minivan;no;0;;Highly Urban/ Urban;18/04/2022;complet;dev_integral;311,12;41137-380
M;14;Non;Oui;[40k€+];Private;Minivan;no;1;18.0;Highly Urban/ Urban;16/01/2022;complet;dev_express;262,33;50254-381
M;80;Non;Non;[40k€+];Commercial;Van;yes;2;7.0;Highly Urban/ Urban;02/01/2022;complet;dev_express;264,89;69946-382
M;70;Non;Non;[40k€+];Commercial;Van;no;3;16.0;Highly Urban/ Urban;18/03/2022;complet;dev_integral;331,57;50708-383
M;76;Non;Non;[40k€+];Private;Sports Car;no;0;14.0;Highly Urban/ Urban;19/01/2022;complet;dev_premium;471,73;45901-384
M;13;Non;Oui;[40k€+];Commercial;z_SUV;no;0;11.0;Highly Urban/ Urban;06/05/2022;complet;dev_integral;294,57;99490-385
